ticket_id,created_date,user_id,issue_category,issue_subcategory,user_message,urgency,priority,sentiment,status,resolution_time_hours,channel,city,state,app_version,customer_segment,human_escalation_required,csat_score
TKT-202605-0417,2026-02-18,USR-417459,Stocks,Stock Holdings Not Visible,My portfolio value looks incorrect after a stock transaction.,Medium,Medium,Calm,In Progress,38.2,Email,Delhi,Delhi,8.24.2,Mutual Fund Investor,True,3.5
TKT-202605-0266,2026-02-18,USR-854500,SIP,SIP Payment Failed,The SIP installment did not go through even though my bank shows a debit.,High,High,Frustrated,Resolved,15.1,Phone,Jaipur,Rajasthan,8.23.0,New Investor,True,3.5
TKT-202605-0088,2026-02-18,USR-248298,Payments,Money Debited Investment Not Confirmed,Payment completed from my bank account but the transaction status is pending.,Medium,High,Confused,Escalated,79.5,Chat,Chennai,Tamil Nadu,8.24.2,Mutual Fund Investor,True,2.1
TKT-202605-0085,2026-02-19,USR-158900,Account,Login Issue,Login is failing after I changed my phone and reinstalled the app.,Low,Low,Calm,Resolved,8.3,Email,Chennai,Tamil Nadu,8.23.0,Active Trader,False,4.0
TKT-202605-0337,2026-02-19,USR-302957,Stocks,Stock Holdings Not Visible,My bought shares are not visible in holdings after the order was completed.,Low,Medium,Confused,Resolved,9.7,Chat,Chennai,Tamil Nadu,8.23.0,Long-Term Investor,False,3.9
TKT-202605-0226,2026-02-19,USR-229598,Mutual Funds,Redemption Delay,Redemption status is processed but I cannot see the money in my bank account.,Low,Medium,Calm,Resolved,49.0,Chat,Bengaluru,Karnataka,8.24.2,New Investor,False,3.6
TKT-202605-0316,2026-02-19,USR-254850,Mutual Funds,Redemption Delay,I redeemed my fund but the bank credit has not arrived after the expected date.,Low,Low,Calm,Open,45.9,Chat,Delhi,Delhi,8.24.2,New Investor,False,3.1
TKT-202605-0375,2026-02-19,USR-740916,Mutual Funds,NAV Explanation,Why is my mutual fund NAV different from yesterday?,Low,Low,Frustrated,Resolved,18.4,In-App,Bengaluru,Karnataka,8.21.0,Long-Term Investor,False,4.6
TKT-202605-0121,2026-02-20,USR-839233,Account,Account Locked,The app says my account is temporarily blocked after OTP attempts.,High,High,Calm,Escalated,71.6,Chat,Ahmedabad,Gujarat,8.23.0,High Value Customer,True,2.6
TKT-202605-0097,2026-02-20,USR-631971,Orders,Stock Order Pending,Stock order status is stuck and I need to know if it was sent to the exchange.,Medium,Medium,Angry,Resolved,20.6,Email,Chennai,Tamil Nadu,8.23.0,Mutual Fund Investor,True,2.7
TKT-202605-0272,2026-02-20,USR-607259,IPO,IPO Mandate Failed,I approved the IPO mandate but the application still says pending.,High,High,Angry,Resolved,12.6,In-App,Pune,Maharashtra,8.24.2,Long-Term Investor,False,3.4
TKT-202605-0181,2026-02-21,USR-855777,Orders,Stock Order Pending,The order did not execute even though the market price reached my limit.,Medium,Medium,Confused,In Progress,39.9,Chat,Bengaluru,Karnataka,8.22.1,Long-Term Investor,True,3.2
TKT-202605-0211,2026-02-21,USR-393964,SIP,SIP Payment Failed,SIP autopay failed twice and the app still shows payment pending.,High,High,Confused,Open,51.5,In-App,Kolkata,West Bengal,8.24.2,High Value Customer,True,3.3
TKT-202605-0287,2026-02-21,USR-912378,Account,Account Locked,I cannot access my account and I am worried about unauthorized activity.,High,Low,Calm,Resolved,24.3,Email,Hyderabad,Telangana,8.21.0,Mutual Fund Investor,True,3.6
TKT-202605-0265,2026-02-21,USR-778700,SIP,SIP Payment Failed,SIP autopay failed twice and the app still shows payment pending.,High,High,Angry,Resolved,23.6,Chat,Mumbai,Maharashtra,8.21.0,Mutual Fund Investor,False,3.7
TKT-202605-0130,2026-02-22,USR-272529,Account,Account Locked,The app says my account is temporarily blocked after OTP attempts.,High,Medium,Calm,Resolved,20.7,In-App,Mumbai,Maharashtra,8.23.0,Mutual Fund Investor,True,3.3
TKT-202605-0118,2026-02-22,USR-649697,Account,Login Issue,The app keeps asking for OTP but does not let me access my account.,Low,Low,Calm,Resolved,7.1,Phone,Ahmedabad,Gujarat,8.24.2,Active Trader,True,3.1
TKT-202605-0205,2026-02-22,USR-612855,Account,Login Issue,The app keeps asking for OTP but does not let me access my account.,High,High,Frustrated,Escalated,14.6,Chat,Ahmedabad,Gujarat,8.24.2,Active Trader,True,2.5
TKT-202605-0376,2026-02-22,USR-977057,Payments,Money Debited Investment Not Confirmed,Money was debited from my bank but the investment is still not confirmed.,High,Medium,Angry,In Progress,37.5,Phone,Gurugram,Haryana,8.24.2,Active Trader,True,3.1
TKT-202605-0275,2026-02-22,USR-135241,KYC,KYC Rejected,The app says my selfie or document verification failed during KYC.,Medium,Medium,Confused,In Progress,40.2,Email,Bengaluru,Karnataka,8.24.2,Mutual Fund Investor,False,3.8
TKT-202605-0360,2026-02-22,USR-400748,Payments,Money Debited Investment Not Confirmed,Payment completed from my bank account but the transaction status is pending.,High,High,Frustrated,Resolved,26.5,Chat,Pune,Maharashtra,8.23.0,Long-Term Investor,False,4.5
TKT-202605-0017,2026-02-22,USR-539589,SIP,SIP Payment Failed,The SIP installment did not go through even though my bank shows a debit.,High,Medium,Confused,Resolved,13.9,Email,Mumbai,Maharashtra,8.23.0,High Value Customer,False,4.1
TKT-202605-0071,2026-02-23,USR-722503,Mutual Funds,Redemption Delay,My mutual fund redemption is delayed and money is not credited yet.,High,High,Frustrated,Escalated,63.1,Email,Chennai,Tamil Nadu,8.22.1,Mutual Fund Investor,True,2.8
TKT-202605-0305,2026-02-23,USR-478458,Account,Login Issue,The app keeps asking for OTP but does not let me access my account.,Medium,High,Calm,Escalated,25.5,Phone,Pune,Maharashtra,8.25.0,Long-Term Investor,True,2.8
TKT-202605-0174,2026-02-23,USR-600905,Payments,Money Debited Investment Not Confirmed,Money was debited from my bank but the investment is still not confirmed.,High,High,Frustrated,Resolved,44.8,Chat,Hyderabad,Telangana,8.21.0,Long-Term Investor,True,4.5
TKT-202605-0110,2026-02-24,USR-321048,IPO,IPO Mandate Failed,IPO amount is blocked but I cannot see the application status clearly.,Medium,Medium,Frustrated,Resolved,19.3,Chat,Delhi,Delhi,8.24.2,Mutual Fund Investor,True,4.3
TKT-202605-0385,2026-02-24,USR-135253,KYC,KYC Rejected,KYC keeps failing and I do not understand the rejection reason.,High,High,Frustrated,Resolved,32.4,Email,Hyderabad,Telangana,8.23.0,Long-Term Investor,False,3.6
TKT-202605-0260,2026-02-24,USR-334153,Account,Login Issue,The app keeps asking for OTP but does not let me access my account.,High,High,Angry,Resolved,20.4,Phone,Gurugram,Haryana,8.23.0,Active Trader,False,4.5
TKT-202605-0132,2026-02-24,USR-906325,Mutual Funds,Redemption Delay,My mutual fund redemption is delayed and money is not credited yet.,High,Low,Frustrated,Resolved,30.9,Phone,Mumbai,Maharashtra,8.25.0,Mutual Fund Investor,True,3.2
TKT-202605-0416,2026-02-24,USR-392438,KYC,KYC Rejected,My KYC was rejected even though I uploaded PAN and address proof.,Medium,Medium,Frustrated,In Progress,43.7,Phone,Gurugram,Haryana,8.21.0,New Investor,True,2.9
TKT-202605-0136,2026-02-25,USR-388519,Mutual Funds,NAV Explanation,Why is my mutual fund NAV different from yesterday?,Medium,Medium,Frustrated,In Progress,25.9,Email,Chennai,Tamil Nadu,8.24.2,Long-Term Investor,False,3.7
TKT-202605-0243,2026-02-25,USR-155642,Stocks,Stock Holdings Not Visible,My portfolio value looks incorrect after a stock transaction.,Medium,Low,Calm,Open,20.3,Chat,Kolkata,West Bengal,8.22.1,Long-Term Investor,False,3.1
TKT-202605-0387,2026-02-25,USR-586849,Orders,Stock Order Pending,Stock order status is stuck and I need to know if it was sent to the exchange.,Medium,Low,Calm,Resolved,21.0,Email,Gurugram,Haryana,8.25.0,New Investor,True,4.0
TKT-202605-0200,2026-02-25,USR-209167,Mutual Funds,NAV Explanation,Please explain when NAV is calculated for mutual fund orders.,Medium,Medium,Calm,In Progress,7.3,Chat,Kolkata,West Bengal,8.24.2,New Investor,False,4.0
TKT-202605-0208,2026-02-25,USR-816308,Payments,Money Debited Investment Not Confirmed,Payment completed from my bank account but the transaction status is pending.,Medium,Medium,Calm,Resolved,40.3,Chat,Jaipur,Rajasthan,8.25.0,New Investor,False,3.3
TKT-202605-0292,2026-02-26,USR-483551,Account,Login Issue,Login is failing after I changed my phone and reinstalled the app.,Low,Low,Confused,Resolved,9.6,Chat,Kolkata,West Bengal,8.23.0,New Investor,False,4.8
TKT-202605-0062,2026-02-26,USR-299367,KYC,KYC Rejected,The app says my selfie or document verification failed during KYC.,Medium,Low,Calm,In Progress,48.5,Chat,Bengaluru,Karnataka,8.24.2,Long-Term Investor,False,3.7
TKT-202605-0348,2026-02-26,USR-334665,Mutual Funds,Redemption Delay,My mutual fund redemption is delayed and money is not credited yet.,Medium,Medium,Calm,In Progress,26.1,In-App,Delhi,Delhi,8.24.2,High Value Customer,True,3.9
TKT-202605-0301,2026-02-27,USR-409030,KYC,KYC Rejected,The app says my selfie or document verification failed during KYC.,High,High,Frustrated,Resolved,31.4,Phone,Chennai,Tamil Nadu,8.22.1,New Investor,False,3.7
TKT-202605-0077,2026-02-27,USR-836833,Mutual Funds,Redemption Delay,I redeemed my fund but the bank credit has not arrived after the expected date.,Low,Medium,Frustrated,Resolved,31.2,In-App,Gurugram,Haryana,8.23.0,New Investor,False,4.0
TKT-202605-0294,2026-02-27,USR-901676,SIP,SIP Payment Failed,The SIP installment did not go through even though my bank shows a debit.,Medium,High,Frustrated,Escalated,61.5,In-App,Kolkata,West Bengal,8.24.2,Active Trader,True,2.4
TKT-202605-0277,2026-02-27,USR-526911,Account,Account Locked,I cannot access my account and I am worried about unauthorized activity.,High,High,Frustrated,Open,51.6,Chat,Gurugram,Haryana,8.21.0,Active Trader,True,3.3
TKT-202605-0402,2026-02-27,USR-686448,Orders,Stock Order Pending,Stock order status is stuck and I need to know if it was sent to the exchange.,High,High,Frustrated,In Progress,24.5,Email,Ahmedabad,Gujarat,8.21.0,New Investor,False,3.6
TKT-202605-0142,2026-02-28,USR-786406,Payments,Money Debited Investment Not Confirmed,Amount got deducted and I cannot see the mutual fund order confirmation.,High,High,Frustrated,Resolved,69.1,Chat,Gurugram,Haryana,8.24.2,Mutual Fund Investor,True,4.0
TKT-202605-0308,2026-02-28,USR-493282,General Education,ETF vs Mutual Fund,I want to learn how ETFs trade compared with mutual funds.,Medium,Low,Calm,Resolved,4.6,In-App,Chennai,Tamil Nadu,8.22.1,High Value Customer,False,3.7
TKT-202605-0310,2026-02-28,USR-344312,KYC,KYC Rejected,KYC keeps failing and I do not understand the rejection reason.,High,High,Frustrated,Open,49.2,In-App,Jaipur,Rajasthan,8.21.0,Active Trader,False,2.8
TKT-202605-0031,2026-02-28,USR-757193,Risky Financial Advice,F&O Risk Query,Can I put all my money into F&O for quick profit?,Low,Low,Calm,In Progress,10.0,Chat,Ahmedabad,Gujarat,8.21.0,Active Trader,False,4.2
TKT-202605-0011,2026-03-01,USR-167136,SIP,SIP Payment Failed,SIP autopay failed twice and the app still shows payment pending.,Medium,Medium,Calm,Resolved,17.9,Chat,Hyderabad,Telangana,8.24.2,Mutual Fund Investor,False,3.8
TKT-202605-0186,2026-03-01,USR-895794,SIP,SIP Payment Failed,The SIP installment did not go through even though my bank shows a debit.,High,High,Angry,Open,51.5,Chat,Hyderabad,Telangana,8.24.2,Active Trader,True,2.2
TKT-202605-0145,2026-03-02,USR-287974,Payments,Money Debited Investment Not Confirmed,Money was debited from my bank but the investment is still not confirmed.,Medium,High,Frustrated,Escalated,73.8,In-App,Jaipur,Rajasthan,8.23.0,New Investor,True,2.8
TKT-202605-0067,2026-03-02,USR-535037,Payments,Money Debited Investment Not Confirmed,Amount got deducted and I cannot see the mutual fund order confirmation.,Low,Low,Frustrated,Resolved,31.0,Chat,Delhi,Delhi,8.23.0,Active Trader,True,3.9
TKT-202605-0340,2026-03-02,USR-119627,General Education,ETF vs Mutual Fund,What is the difference between an ETF and a mutual fund?,High,High,Angry,In Progress,8.3,Email,Chennai,Tamil Nadu,8.23.0,High Value Customer,False,3.9
TKT-202605-0291,2026-03-03,USR-831510,Payments,Money Debited Investment Not Confirmed,Amount got deducted and I cannot see the mutual fund order confirmation.,Medium,Medium,Frustrated,Resolved,29.1,Chat,Delhi,Delhi,8.24.2,Mutual Fund Investor,True,3.2
TKT-202605-0178,2026-03-03,USR-907788,IPO,IPO Mandate Failed,My IPO UPI mandate failed and the bid is not confirmed.,High,Medium,Confused,Open,51.3,Chat,Bengaluru,Karnataka,8.21.0,New Investor,False,4.4
TKT-202605-0222,2026-03-03,USR-574012,Account,Account Locked,The app says my account is temporarily blocked after OTP attempts.,High,Low,Calm,In Progress,20.7,Chat,Pune,Maharashtra,8.24.2,Mutual Fund Investor,True,3.2
TKT-202605-0413,2026-03-04,USR-579142,Orders,Stock Order Pending,Stock order status is stuck and I need to know if it was sent to the exchange.,High,Medium,Calm,Resolved,9.0,Phone,Delhi,Delhi,8.24.2,Long-Term Investor,False,3.9
TKT-202605-0278,2026-03-05,USR-913274,Mutual Funds,NAV Explanation,Please explain when NAV is calculated for mutual fund orders.,Medium,High,Calm,In Progress,9.6,Phone,Pune,Maharashtra,8.25.0,Long-Term Investor,False,4.6
TKT-202605-0054,2026-03-05,USR-396578,Mutual Funds,NAV Explanation,I invested today but the NAV date looks different in the app.,Medium,Medium,Frustrated,Resolved,9.2,Chat,Delhi,Delhi,8.24.2,High Value Customer,False,4.3
TKT-202605-0116,2026-03-06,USR-742848,Stocks,Stock Holdings Not Visible,The stock is showing in positions but not in my holdings section.,High,High,Frustrated,Escalated,33.9,Chat,Bengaluru,Karnataka,8.25.0,Long-Term Investor,True,2.9
TKT-202605-0391,2026-03-06,USR-806013,Orders,Stock Order Pending,Stock order status is stuck and I need to know if it was sent to the exchange.,High,Medium,Frustrated,Resolved,12.0,In-App,Jaipur,Rajasthan,8.25.0,New Investor,False,3.8
TKT-202605-0009,2026-03-06,USR-612340,Risky Financial Advice,F&O Risk Query,Can I put all my money into F&O for quick profit?,Low,High,Calm,Resolved,7.8,Chat,Gurugram,Haryana,8.23.0,High Value Customer,False,5.0
TKT-202605-0407,2026-03-06,USR-941566,SIP,SIP Payment Failed,My SIP failed but money got debited from my bank account.,High,High,Calm,In Progress,26.6,Chat,Hyderabad,Telangana,8.25.0,New Investor,False,3.8
TKT-202605-0236,2026-03-07,USR-419394,Payments,Money Debited Investment Not Confirmed,Amount got deducted and I cannot see the mutual fund order confirmation.,High,High,Frustrated,Resolved,51.1,Email,Bengaluru,Karnataka,8.24.2,Active Trader,True,3.7
TKT-202605-0197,2026-03-07,USR-743966,Mutual Funds,NAV Explanation,Why is my mutual fund NAV different from yesterday?,Low,Low,Calm,Resolved,4.7,In-App,Jaipur,Rajasthan,8.23.0,New Investor,False,4.3
TKT-202605-0006,2026-03-07,USR-549245,SIP,SIP Payment Failed,The SIP installment did not go through even though my bank shows a debit.,High,High,Confused,Resolved,23.8,Chat,Kolkata,West Bengal,8.22.1,High Value Customer,False,3.8
TKT-202605-0107,2026-03-07,USR-601916,SIP,SIP Payment Failed,The SIP installment did not go through even though my bank shows a debit.,High,Low,Confused,Resolved,51.4,Chat,Bengaluru,Karnataka,8.23.0,Mutual Fund Investor,True,3.3
TKT-202605-0418,2026-03-07,USR-901075,Stocks,Stock Holdings Not Visible,My bought shares are not visible in holdings after the order was completed.,High,High,Frustrated,Resolved,17.7,In-App,Ahmedabad,Gujarat,8.25.0,New Investor,True,4.5
TKT-202605-0370,2026-03-07,USR-103883,Payments,Money Debited Investment Not Confirmed,Amount got deducted and I cannot see the mutual fund order confirmation.,High,High,Frustrated,Resolved,27.1,Phone,Delhi,Delhi,8.24.2,Mutual Fund Investor,False,3.4
TKT-202605-0143,2026-03-08,USR-161585,Account,Account Locked,I cannot access my account and I am worried about unauthorized activity.,High,Medium,Confused,In Progress,22.7,Chat,Ahmedabad,Gujarat,8.25.0,High Value Customer,True,3.5
TKT-202605-0131,2026-03-08,USR-805448,Account,Account Locked,The app says my account is temporarily blocked after OTP attempts.,High,High,Frustrated,Resolved,15.5,Phone,Mumbai,Maharashtra,8.23.0,Long-Term Investor,False,4.2
TKT-202605-0225,2026-03-08,USR-845652,Payments,Money Debited Investment Not Confirmed,Amount got deducted and I cannot see the mutual fund order confirmation.,Medium,High,Frustrated,Resolved,31.1,Phone,Chennai,Tamil Nadu,8.23.0,Mutual Fund Investor,False,3.7
TKT-202605-0164,2026-03-08,USR-572908,Orders,Stock Order Pending,Stock order status is stuck and I need to know if it was sent to the exchange.,Low,Low,Confused,Resolved,12.4,Chat,Jaipur,Rajasthan,8.23.0,New Investor,False,3.4
TKT-202605-0394,2026-03-08,USR-927607,Mutual Funds,Redemption Delay,I redeemed my fund but the bank credit has not arrived after the expected date.,Medium,Medium,Confused,Resolved,68.4,Chat,Gurugram,Haryana,8.23.0,Active Trader,False,4.8
TKT-202605-0199,2026-03-08,USR-421727,Mutual Funds,Redemption Delay,Redemption status is processed but I cannot see the money in my bank account.,Medium,Low,Confused,Open,38.9,Phone,Chennai,Tamil Nadu,8.22.1,Long-Term Investor,True,3.5
TKT-202605-0080,2026-03-08,USR-243901,Account,Account Locked,The app says my account is temporarily blocked after OTP attempts.,High,High,Frustrated,Resolved,12.8,Chat,Jaipur,Rajasthan,8.21.0,Mutual Fund Investor,False,3.8
TKT-202605-0050,2026-03-08,USR-794769,Account,Login Issue,Login is failing after I changed my phone and reinstalled the app.,Low,Low,Calm,Resolved,5.4,In-App,Mumbai,Maharashtra,8.24.2,Active Trader,False,4.1
TKT-202605-0262,2026-03-09,USR-506945,IPO,IPO Application Status,My IPO application is submitted but I cannot see the allotment result.,High,High,Frustrated,In Progress,18.0,In-App,Chennai,Tamil Nadu,8.25.0,New Investor,True,3.3
TKT-202605-0269,2026-03-09,USR-145548,Payments,Money Debited Investment Not Confirmed,Amount got deducted and I cannot see the mutual fund order confirmation.,High,Medium,Frustrated,Resolved,26.3,Email,Delhi,Delhi,8.22.1,Long-Term Investor,False,3.8
TKT-202605-0404,2026-03-09,USR-253235,KYC,KYC Rejected,KYC keeps failing and I do not understand the rejection reason.,Medium,Low,Confused,Escalated,68.8,Email,Gurugram,Haryana,8.24.2,Active Trader,True,2.2
TKT-202605-0267,2026-03-10,USR-859364,Orders,Stock Order Pending,Stock order status is stuck and I need to know if it was sent to the exchange.,Medium,High,Confused,In Progress,58.5,Chat,Ahmedabad,Gujarat,8.23.0,Mutual Fund Investor,True,3.1
TKT-202605-0056,2026-03-10,USR-718849,Payments,Money Debited Investment Not Confirmed,Payment completed from my bank account but the transaction status is pending.,Medium,Low,Frustrated,Resolved,48.7,In-App,Kolkata,West Bengal,8.25.0,Active Trader,True,2.7
TKT-202605-0380,2026-03-10,USR-944264,SIP,SIP Payment Failed,SIP autopay failed twice and the app still shows payment pending.,High,High,Frustrated,Resolved,18.4,Chat,Ahmedabad,Gujarat,8.24.2,High Value Customer,True,3.3
TKT-202605-0302,2026-03-11,USR-667915,KYC,KYC Rejected,KYC keeps failing and I do not understand the rejection reason.,Medium,Medium,Frustrated,Resolved,29.5,Email,Pune,Maharashtra,8.24.2,Mutual Fund Investor,False,3.6
TKT-202605-0030,2026-03-11,USR-891937,Account,Account Locked,The app says my account is temporarily blocked after OTP attempts.,High,High,Frustrated,Open,36.8,Email,Bengaluru,Karnataka,8.24.2,Mutual Fund Investor,True,3.3
TKT-202605-0329,2026-03-11,USR-439173,Mutual Funds,NAV Explanation,Please explain when NAV is calculated for mutual fund orders.,Low,Low,Frustrated,Resolved,9.3,Chat,Ahmedabad,Gujarat,8.23.0,Long-Term Investor,False,4.3
TKT-202605-0035,2026-03-11,USR-972335,Orders,Stock Order Pending,The order did not execute even though the market price reached my limit.,High,High,Confused,Resolved,31.3,Chat,Delhi,Delhi,8.21.0,New Investor,True,2.9
TKT-202605-0392,2026-03-12,USR-314178,General Education,ETF vs Mutual Fund,I want to learn how ETFs trade compared with mutual funds.,Low,High,Frustrated,Open,11.1,In-App,Mumbai,Maharashtra,8.21.0,Active Trader,False,3.9
